victim,sample_index,raw_success,natural,effective_success,raw_query,effective_query
SigLIP2,498,False,False,False,100,100
SigLIP2,499,True,True,True,3,3
SigLIP2,500,True,True,True,3,3
SigLIP2,503,True,True,True,3,3
SigLIP2,504,True,True,True,3,3
SigLIP2,505,True,True,True,28,28
SigLIP2,507,True,True,True,8,8
SigLIP2,508,True,True,True,3,3
SigLIP2,509,True,True,True,3,3
SigLIP2,510,False,False,False,100,100
SigLIP2,511,True,True,True,10,10
SigLIP2,512,True,True,True,33,33
SigLIP2,513,False,False,False,100,100
SigLIP2,514,True,True,True,18,18
SigLIP2,515,True,True,True,5,5
SigLIP2,516,True,True,True,3,3
SigLIP2,517,True,True,True,3,3
SigLIP2,518,False,False,False,100,100
SigLIP2,519,True,True,True,25,25
SigLIP2,521,True,True,True,3,3
SigLIP2,522,True,True,True,18,18
SigLIP2,523,False,False,False,100,100
SigLIP2,524,False,False,False,100,100
SigLIP2,525,False,False,False,100,100
SigLIP2,527,True,True,True,3,3
SigLIP2,528,True,True,True,8,8
SigLIP2,529,True,True,True,3,3
SigLIP2,530,True,True,True,3,3
SigLIP2,531,True,True,True,10,10
SigLIP2,532,True,True,True,3,3
SigLIP2,533,True,True,True,10,10
SigLIP2,534,True,True,True,8,8
SigLIP2,535,True,True,True,8,8
SigLIP2,536,True,True,True,10,10
SigLIP2,537,True,True,True,3,3
SigLIP2,538,False,False,False,100,100
SigLIP2,540,True,True,True,3,3
SigLIP2,541,True,True,True,3,3
SigLIP2,542,True,True,True,5,5
SigLIP2,543,True,True,True,3,3
SigLIP2,544,True,True,True,3,3
SigLIP2,545,True,True,True,15,15
SigLIP2,546,False,False,False,100,100
SigLIP2,547,False,False,False,100,100
SigLIP2,548,True,True,True,3,3
SigLIP2,549,False,False,False,100,100
SigLIP2,550,True,True,True,3,3
SigLIP2,551,False,False,False,100,100
SigLIP2,552,True,True,True,8,8
SigLIP2,553,False,False,False,100,100
SigLIP2,554,True,True,True,3,3
SigLIP2,556,True,True,True,3,3
SigLIP2,557,True,True,True,35,35
SigLIP2,558,True,True,True,35,35
SigLIP2,559,False,False,False,100,100
SigLIP2,560,False,False,False,100,100
SigLIP2,561,True,True,True,3,3
SigLIP2,562,True,True,True,10,10
SigLIP2,563,True,True,True,8,8
SigLIP2,564,False,False,False,100,100
SigLIP2,565,True,True,True,3,3
SigLIP2,566,False,False,False,100,100
SigLIP2,567,True,True,True,13,13
SigLIP2,568,True,True,True,3,3
SigLIP2,570,True,True,True,3,3
SigLIP2,571,True,True,True,5,5
SigLIP2,573,True,False,False,3,100
SigLIP2,574,True,True,True,33,33
SigLIP2,575,True,True,True,15,15
SigLIP2,576,True,True,True,5,5
SigLIP2,577,True,True,True,3,3
SigLIP2,578,False,False,False,100,100
SigLIP2,579,True,True,True,20,20
SigLIP2,580,True,True,True,3,3
SigLIP2,581,False,False,False,100,100
SigLIP2,582,True,True,True,5,5
SigLIP2,583,False,False,False,100,100
SigLIP2,584,True,True,True,3,3
SigLIP2,585,False,False,False,100,100
SigLIP2,586,True,True,True,3,3
SigLIP2,588,True,True,True,3,3
SigLIP2,589,True,True,True,8,8
SigLIP2,590,False,False,False,100,100
SigLIP2,591,True,True,True,3,3
SigLIP2,592,True,True,True,35,35
SigLIP2,593,False,False,False,100,100
SigLIP2,594,False,False,False,100,100
SigLIP2,595,True,True,True,20,20
SigLIP2,596,True,True,True,18,18
SigLIP2,598,True,True,True,23,23
SigLIP2,599,True,True,True,3,3
SigLIP2,600,True,True,True,25,25
SigLIP2,601,True,True,True,5,5
SigLIP2,602,True,True,True,18,18
SigLIP2,603,False,False,False,100,100
SigLIP2,605,True,True,True,68,68
SigLIP2,606,True,True,True,5,5
SigLIP2,607,False,False,False,100,100
SigLIP2,608,True,True,True,13,13
SigLIP2,609,True,True,True,3,3
SigLIP2,610,False,False,False,100,100
SigLIP2,611,True,True,True,3,3
SigLIP2,612,False,False,False,100,100
SigLIP2,614,False,False,False,100,100
SigLIP2,615,True,True,True,3,3
SigLIP2,616,False,False,False,100,100
SigLIP2,617,True,True,True,43,43
SigLIP2,619,True,True,True,3,3
SigLIP2,620,False,False,False,100,100
SigLIP2,621,True,True,True,3,3
SigLIP2,622,True,True,True,3,3
SigLIP2,623,False,False,False,100,100
SigLIP2,624,True,True,True,10,10
SigLIP2,625,True,True,True,3,3
SigLIP2,626,True,True,True,3,3
SigLIP2,627,True,False,False,28,100
SigLIP2,628,False,False,False,100,100
SigLIP2,629,True,True,True,3,3
SigLIP2,630,True,True,True,3,3
SigLIP2,631,True,True,True,53,53
SigLIP2,632,True,True,True,60,60
SigLIP2,634,True,True,True,3,3
SigLIP2,635,True,True,True,5,5
SigLIP2,636,True,True,True,5,5
SigLIP2,637,True,True,True,18,18
SigLIP2,640,True,True,True,10,10
SigLIP2,641,True,True,True,3,3
SigLIP2,642,True,True,True,8,8
SigLIP2,643,True,True,True,5,5
SigLIP2,644,True,True,True,48,48
SigLIP2,645,True,True,True,3,3
SigLIP2,646,True,True,True,3,3
SigLIP2,648,True,True,True,8,8
SigLIP2,650,True,True,True,5,5
SigLIP2,651,False,False,False,100,100
SigLIP2,652,True,True,True,5,5
SigLIP2,653,True,True,True,15,15
SigLIP2,654,True,True,True,18,18
SigLIP2,655,True,True,True,3,3
SigLIP2,657,True,True,True,15,15
SigLIP2,659,True,True,True,10,10
SigLIP2,660,True,True,True,3,3
SigLIP2,661,True,True,True,15,15
SigLIP2,663,False,False,False,100,100
SigLIP2,665,False,False,False,100,100
SigLIP2,666,True,True,True,5,5
SigLIP2,668,True,True,True,5,5
SigLIP2,669,True,True,True,3,3
SigLIP2,670,True,True,True,5,5
SigLIP2,671,True,True,True,5,5
SigLIP2,672,False,False,False,100,100
SigLIP2,674,True,True,True,8,8
SigLIP2,675,False,False,False,100,100
SigLIP2,676,True,True,True,40,40
SigLIP2,677,True,True,True,5,5
SigLIP2,680,False,False,False,100,100
SigLIP2,681,True,True,True,10,10
SigLIP2,684,False,False,False,100,100
SigLIP2,686,True,True,True,15,15
SigLIP2,687,False,False,False,100,100
SigLIP2,689,True,True,True,5,5
SigLIP2,690,True,True,True,10,10
SigLIP2,691,True,True,True,3,3
SigLIP2,692,False,False,False,100,100
SigLIP2,693,False,False,False,100,100
SigLIP2,694,True,True,True,23,23
SigLIP2,695,False,False,False,100,100
SigLIP2,696,False,False,False,100,100
SigLIP2,697,True,True,True,15,15
SigLIP2,698,False,False,False,100,100
SigLIP2,699,False,False,False,100,100
SigLIP2,700,False,False,False,100,100
SigLIP2,703,False,False,False,100,100
SigLIP2,704,True,True,True,3,3
SigLIP2,705,True,True,True,5,5
SigLIP2,706,True,True,True,25,25
SigLIP2,707,False,False,False,100,100
SigLIP2,710,True,True,True,3,3
SigLIP2,711,True,True,True,83,83
SigLIP2,712,True,True,True,91,91
SigLIP2,713,True,True,True,19,19
SigLIP2,714,True,True,True,8,8
SigLIP2,715,True,True,True,15,15
SigLIP2,716,True,True,True,3,3
SigLIP2,717,True,True,True,3,3
SigLIP2,718,True,True,True,3,3
SigLIP2,719,True,True,True,15,15
SigLIP2,720,False,False,False,100,100
SigLIP2,721,True,True,True,8,8
SigLIP2,723,True,True,True,3,3
SigLIP2,724,True,True,True,18,18
SigLIP2,726,True,True,True,8,8
SigLIP2,727,True,True,True,10,10
SigLIP2,728,True,True,True,3,3
SigLIP2,729,True,True,True,3,3
SigLIP2,730,False,False,False,100,100
SigLIP2,731,True,True,True,25,25
SigLIP2,732,True,True,True,3,3
SigLIP2,733,False,False,False,100,100
SigLIP2,734,False,False,False,100,100
SigLIP2,735,True,True,True,8,8
SigLIP2,736,True,True,True,3,3
SigLIP2,737,False,False,False,100,100
SigLIP2,738,True,True,True,13,13
SigLIP2,739,True,True,True,3,3
SigLIP2,740,False,False,False,100,100
SigLIP2,741,True,True,True,13,13
SigLIP2,742,True,True,True,20,20
SigLIP2,744,False,False,False,100,100
SigLIP2,745,False,False,False,100,100
SigLIP2,746,True,True,True,8,8
SigLIP2,747,True,True,True,58,58
SigLIP2,748,True,True,True,53,53
SigLIP2,749,True,False,False,3,100
SigLIP2,750,True,True,True,8,8
SigLIP2,751,False,False,False,100,100
SigLIP2,753,False,False,False,100,100
SigLIP2,754,True,True,True,13,13
SigLIP2,755,True,True,True,3,3
SigLIP2,756,True,True,True,25,25
SigLIP2,757,True,True,True,13,13
SigLIP2,758,False,False,False,100,100
SigLIP2,759,True,True,True,15,15
SigLIP2,760,True,True,True,3,3
SigLIP2,761,True,True,True,13,13
SigLIP2,762,False,False,False,100,100
SigLIP2,763,True,True,True,28,28
SigLIP2,764,True,True,True,3,3
SigLIP2,765,False,False,False,100,100
SigLIP2,766,True,True,True,23,23
SigLIP2,767,True,True,True,8,8
SigLIP2,768,True,True,True,3,3
SigLIP2,769,True,True,True,3,3
SigLIP2,770,False,False,False,100,100
SigLIP2,771,True,True,True,15,15
SigLIP2,773,True,True,True,3,3
SigLIP2,775,True,True,True,10,10
SigLIP2,777,True,True,True,23,23
SigLIP2,778,True,True,True,3,3
SigLIP2,780,True,True,True,10,10
SigLIP2,781,True,True,True,10,10
SigLIP2,782,True,True,True,3,3
SigLIP2,783,True,True,True,20,20
SigLIP2,784,True,True,True,3,3
SigLIP2,786,True,False,False,48,100
SigLIP2,787,True,True,True,38,38
SigLIP2,788,True,True,True,23,23
SigLIP2,789,False,False,False,100,100
SigLIP2,790,False,False,False,100,100
SigLIP2,791,True,True,True,38,38
SigLIP2,793,True,True,True,3,3
SigLIP2,794,True,True,True,38,38
SigLIP2,795,True,True,True,33,33
SigLIP2,796,True,True,True,18,18
SigLIP2,797,True,True,True,65,65
SigLIP2,798,True,True,True,3,3
SigLIP2,799,True,True,True,3,3
SigLIP2,801,True,True,True,10,10
SigLIP2,802,True,True,True,23,23
SigLIP2,803,True,True,True,10,10
SigLIP2,804,True,True,True,8,8
SigLIP2,805,False,False,False,100,100
SigLIP2,806,False,False,False,100,100
SigLIP2,807,True,True,True,25,25
SigLIP2,808,True,True,True,3,3
SigLIP2,809,True,True,True,8,8
SigLIP2,810,True,True,True,5,5
SigLIP2,812,False,False,False,100,100
SigLIP2,813,True,True,True,25,25
SigLIP2,814,True,True,True,3,3
SigLIP2,815,True,True,True,3,3
SigLIP2,816,True,True,True,15,15
SigLIP2,817,True,True,True,3,3
SigLIP2,818,False,False,False,100,100
SigLIP2,819,False,False,False,100,100
SigLIP2,820,True,True,True,8,8
SigLIP2,821,True,True,True,23,23
SigLIP2,822,False,False,False,100,100
SigLIP2,823,True,True,True,28,28
SigLIP2,824,True,True,True,3,3
SigLIP2,826,False,False,False,100,100
SigLIP2,827,True,True,True,8,8
SigLIP2,829,True,True,True,5,5
SigLIP2,831,False,False,False,100,100
SigLIP2,832,True,True,True,8,8
SigLIP2,833,True,True,True,8,8
SigLIP2,834,True,True,True,5,5
SigLIP2,835,False,False,False,100,100
